path_ref,path_query,ref_x,ref_y,query_x,query_y
0,0,954.8528402204931,537.4147464717151,1159.2,547.7
1,1,954.8528402204931,537.4147464717151,1159.2,547.7
2,2,954.8528402204931,537.4147464717151,1159.2,547.7
3,3,954.8528402204931,537.4147464717151,1159.2,547.7
4,4,954.8528402204931,537.4147464717151,1159.2,547.7
5,5,954.8528402204931,537.4147464717151,1159.2,547.7
6,6,954.8528402204931,537.4147464717151,1159.2,547.7
7,7,954.8528402204931,537.4147464717151,1159.2,547.7
8,8,954.8528402204931,537.4147464717151,1159.2,547.7
9,9,954.8528402204931,537.4147464717151,1159.2,547.7
10,10,954.8528402204931,537.4147464717151,1159.2,547.7
11,11,954.8528402204931,537.4147464717151,1159.2,547.7
12,12,954.8528402204931,537.4147464717151,1159.2,547.7
13,13,954.8528402204931,537.4147464717151,1159.2,547.7
14,14,954.8528402204931,537.4147464717151,1159.2,547.7
15,15,954.8528402204931,537.4147464717151,1159.2,547.7
16,16,954.8528402204931,537.4147464717151,1159.2,547.7
17,17,954.8528402204931,537.4147464717151,1159.2,547.7
18,18,954.8528402204931,537.4147464717151,1159.2,547.7
19,19,954.8528402204931,537.4147464717151,1159.2,547.7
20,20,954.8528402204931,537.4147464717151,1159.2,547.7
21,21,954.8528402204931,537.4147464717151,1159.2,547.7
22,22,954.8528402204931,537.4147464717151,1159.2,547.7
23,23,954.8528402204931,537.4147464717151,1159.2,547.7
24,24,954.8528402204931,537.4147464717151,1159.2,547.7
25,25,954.8528402204931,537.4147464717151,1159.2,547.7
26,26,954.8528402204931,537.4147464717151,1159.2,547.7
27,27,954.8528402204931,537.4147464717151,1159.2,547.7
28,28,954.8528402204931,537.4147464717151,1159.2,547.7
29,29,954.8528402204931,537.4147464717151,1159.2,547.7
30,30,954.8528402204931,537.4147464717151,1159.2,547.7
31,31,954.8528402204931,537.4147464717151,1159.2,547.7
32,32,954.8528402204931,537.4147464717151,1159.2,547.7
33,33,954.8528402204931,537.4147464717151,1159.2,547.7
34,34,954.8528402204931,537.4147464717151,1159.2,547.7
35,35,954.8528402204931,537.4147464717151,1159.2,547.7
36,36,954.8528402204931,537.4147464717151,1159.2,547.7
37,37,954.8528402204931,537.4147464717151,1159.2,547.7
38,38,954.8528402204931,537.4147464717151,1159.2,547.7
39,39,954.8528402204931,537.4147464717151,1159.2,547.7
40,40,954.8528402204931,537.4147464717151,1159.2,547.7
41,41,954.8528402204931,537.4147464717151,1159.2,547.7
42,42,954.8528402204931,537.4147464717151,1159.2,547.7
43,43,954.8528402204931,537.4147464717151,1159.2,547.7
44,44,954.8528402204931,537.4147464717151,1159.2,547.7
45,45,954.8528402204931,537.4147464717151,1159.2,547.7
46,46,954.8528402204931,537.4147464717151,1159.2,547.7
47,47,954.8528402204931,537.4147464717151,1159.2,547.7
48,48,954.8528402204931,537.4147464717151,1159.2,547.7
49,49,954.8528402204931,537.4147464717151,1159.2,547.7
50,50,954.8528402204931,537.4147464717151,1159.2,547.7
51,51,954.8528402204931,537.4147464717151,1159.2,547.7
52,52,954.8528402204931,537.4147464717151,1159.2,547.7
53,53,954.8528402204931,537.4147464717151,1159.2,547.7
54,54,954.8528402204931,537.4147464717151,1159.2,547.7
55,55,954.8528402204931,537.4147464717151,1159.2,547.7
56,56,954.8528402204931,537.4147464717151,1159.2,547.7
57,57,954.8528402204931,537.4147464717151,1159.2,547.7
58,58,954.8528402204931,537.4147464717151,1159.2,547.7
59,59,954.8528402204931,537.4147464717151,1159.2,547.7
60,60,954.8528402204931,537.4147464717151,1159.2,547.7
61,61,954.8528402204931,537.4147464717151,1159.2,547.7
62,62,954.8528402204931,537.4147464717151,1159.2,547.7
63,63,954.8528402204931,537.4147464717151,1159.2,547.7
64,64,954.8528402204931,537.4147464717151,1159.2,547.7
65,65,954.8528402204931,537.4147464717151,1159.2,547.7
66,66,954.8528402204931,537.4147464717151,1159.2,547.7
67,67,954.8528402204931,537.4147464717151,1159.2,547.7
68,68,954.8528402204931,537.4147464717151,1159.2,547.7
69,69,954.8528402204931,537.4147464717151,1159.2,547.7
70,70,954.8528402204931,537.4147464717151,1159.2,547.7
71,71,954.8528402204931,537.4147464717151,1159.2,547.7
72,72,954.8528402204931,537.4147464717151,1159.2,547.7
73,73,954.8528402204931,537.4147464717151,1159.2,547.7
74,74,954.8528402204931,537.4147464717151,1159.2,547.7
75,75,954.8528402204931,537.4147464717151,1159.2,547.7
76,76,954.8528402204931,537.4147464717151,1159.2,547.7
77,77,954.8528402204931,537.4147464717151,1159.2,547.7
78,78,954.8528402204931,537.4147464717151,1159.2,547.7
79,79,954.8528402204931,537.4147464717151,1147.72,546.5600000000001
80,80,954.8528402204931,537.4147464717151,1136.24,545.4200000000001
81,81,954.8528402204931,537.4147464717151,1124.76,544.2800000000001
82,82,954.8528402204931,537.4147464717151,1113.28,543.14
83,83,954.8528402204931,537.4147464717151,1101.8,542.0
84,84,954.8528402204931,537.4147464717151,1090.32,540.86
85,85,954.8528402204931,537.4147464717151,1078.8400000000001,539.72
86,86,954.8528402204931,537.4147464717151,1067.3600000000001,538.58
87,87,954.8528402204931,537.4147464717151,1055.88,537.44
88,88,954.8528402204931,537.4147464717151,1044.4,536.3000000000001
89,89,954.8528402204931,537.4147464717151,1032.92,535.1600000000001
90,90,954.8528402204931,537.4147464717151,1021.44,534.02
91,91,954.8528402204931,537.4147464717151,1009.96,532.88
92,92,954.8528402204931,537.4147464717151,998.48,531.74
93,93,954.8528402204931,537.4147464717151,987.0,530.6
94,94,954.8528402204931,537.4147464717151,987.0,530.6
95,95,954.8528402204931,537.4147464717151,987.0,530.6
96,96,954.8528402204931,537.4147464717151,987.0,530.6
97,97,954.8528402204931,537.4147464717151,987.0,530.6
98,98,954.8528402204931,537.4147464717151,987.0,530.6
99,99,954.8528402204931,537.4147464717151,987.0,530.6
100,100,954.8528402204931,537.4147464717151,987.0,530.6
101,101,954.8528402204931,537.4147464717151,987.0,530.6
102,102,954.8528402204931,537.4147464717151,987.0,530.6
