Proband;IP;Video;Distancemeasure;total_distance;len_of_signal;mean_distance;median_distance;zero-overhead-counter;ref before query (rbq);query berfore ref (qbr);max rbq;max qbr;max distance;min distance;Oh < -510;-510 <= Oh < -505;-505 <= Oh < -500;-500 <= Oh < -495;-495 <= Oh < -490;-490 <= Oh < -485;-485 <= Oh < -480;-480 <= Oh < -475;-475 <= Oh < -470;-470 <= Oh < -465;-465 <= Oh < -460;-460 <= Oh < -455;-455 <= Oh < -450;-450 <= Oh < -445;-445 <= Oh < -440;-440 <= Oh < -435;-435 <= Oh < -430;-430 <= Oh < -425;-425 <= Oh < -420;-420 <= Oh < -415;-415 <= Oh < -410;-410 <= Oh < -405;-405 <= Oh < -400;-400 <= Oh < -395;-395 <= Oh < -390;-390 <= Oh < -385;-385 <= Oh < -380;-380 <= Oh < -375;-375 <= Oh < -370;-370 <= Oh < -365;-365 <= Oh < -360;-360 <= Oh < -355;-355 <= Oh < -350;-350 <= Oh < -345;-345 <= Oh < -340;-340 <= Oh < -335;-335 <= Oh < -330;-330 <= Oh < -325;-325 <= Oh < -320;-320 <= Oh < -315;-315 <= Oh < -310;-310 <= Oh < -305;-305 <= Oh < -300;-300 <= Oh < -295;-295 <= Oh < -290;-290 <= Oh < -285;-285 <= Oh < -280;-280 <= Oh < -275;-275 <= Oh < -270;-270 <= Oh < -265;-265 <= Oh < -260;-260 <= Oh < -255;-255 <= Oh < -250;-250 <= Oh < -245;-245 <= Oh < -240;-240 <= Oh < -235;-235 <= Oh < -230;-230 <= Oh < -225;-225 <= Oh < -220;-220 <= Oh < -215;-215 <= Oh < -210;-210 <= Oh < -205;-205 <= Oh < -200;-200 <= Oh < -195;-195 <= Oh < -190;-190 <= Oh < -185;-185 <= Oh < -180;-180 <= Oh < -175;-175 <= Oh < -170;-170 <= Oh < -165;-165 <= Oh < -160;-160 <= Oh < -155;-155 <= Oh < -150;-150 <= Oh < -145;-145 <= Oh < -140;-140 <= Oh < -135;-135 <= Oh < -130;-130 <= Oh < -125;-125 <= Oh < -120;-120 <= Oh < -115;-115 <= Oh < -110;-110 <= Oh < -105;-105 <= Oh < -100;-100 <= Oh < -95;-95 <= Oh < -90;-90 <= Oh < -85;-85 <= Oh < -80;-80 <= Oh < -75;-75 <= Oh < -70;-70 <= Oh < -65;-65 <= Oh < -60;-60 <= Oh < -55;-55 <= Oh < -50;-50 <= Oh < -45;-45 <= Oh < -40;-40 <= Oh < -35;-35 <= Oh < -30;-30 <= Oh < -25;-25 <= Oh < -20;-20 <= Oh < -15;-15 <= Oh < -10;-10 <= Oh < -5;-5 <= Oh < 0;0 <= Oh < 5;5 <= Oh < 10;10 <= Oh < 15;15 <= Oh < 20;20 <= Oh < 25;25 <= Oh < 30;30 <= Oh < 35;35 <= Oh < 40;40 <= Oh < 45;45 <= Oh < 50;50 <= Oh < 55;55 <= Oh < 60;60 <= Oh < 65;65 <= Oh < 70;70 <= Oh < 75;75 <= Oh < 80;80 <= Oh < 85;85 <= Oh < 90;90 <= Oh < 95;95 <= Oh < 100;100 <= Oh < 105;105 <= Oh < 110;110 <= Oh < 115;115 <= Oh < 120;120 <= Oh < 125;125 <= Oh < 130;130 <= Oh < 135;135 <= Oh < 140;140 <= Oh < 145;145 <= Oh < 150;150 <= Oh < 155;155 <= Oh < 160;160 <= Oh < 165;165 <= Oh < 170;170 <= Oh < 175;175 <= Oh < 180;180 <= Oh < 185;185 <= Oh < 190;190 <= Oh < 195;195 <= Oh < 200;200 <= Oh < 205;205 <= Oh < 210;210 <= Oh < 215;215 <= Oh < 220;220 <= Oh < 225;225 <= Oh < 230;230 <= Oh < 235;235 <= Oh < 240;240 <= Oh < 245;245 <= Oh < 250;250 <= Oh < 255;255 <= Oh < 260;260 <= Oh < 265;265 <= Oh < 270;270 <= Oh < 275;275 <= Oh < 280;280 <= Oh < 285;285 <= Oh < 290;290 <= Oh < 295;295 <= Oh < 300;300 <= Oh < 305;305 <= Oh < 310;310 <= Oh < 315;315 <= Oh < 320;320 <= Oh < 325;325 <= Oh < 330;330 <= Oh < 335;335 <= Oh < 340;340 <= Oh < 345;345 <= Oh < 350;350 <= Oh < 355;355 <= Oh < 360;360 <= Oh < 365;365 <= Oh < 370;370 <= Oh < 375;375 <= Oh < 380;380 <= Oh < 385;385 <= Oh < 390;390 <= Oh < 395;395 <= Oh < 400;400 <= Oh < 405;405 <= Oh < 410;410 <= Oh < 415;415 <= Oh < 420;420 <= Oh < 425;425 <= Oh < 430;430 <= Oh < 435;435 <= Oh < 440;440 <= Oh < 445;445 <= Oh < 450;450 <= Oh < 455;455 <= Oh < 460;460 <= Oh < 465;465 <= Oh < 470;470 <= Oh < 475;475 <= Oh < 480;480 <= Oh < 485;485 <= Oh < 490;490 <= Oh < 495;495 <= Oh < 500;500 <= Oh < 505;Oh > 510
pb1;1;Spot1;euklid;1339767.9115928432;8117;165.05702988700793;94.30865073552557;402;7922;2612;801;-480;523.4948423921661;0.3385580568202901;0;0;0;0;0;0;0;152;10;10;10;10;10;10;237;16;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;16;21;21;21;21;22;21;21;21;21;21;21;21;21;20;20;20;20;20;20;1037;30;30;434;284;50;209;293;60;60;66;63;60;60;60;139;480;50;50;184;65;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;337;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;242;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;36;20;20;20;20;20;189;20;20;20;20;20;20;20;20;20;20;2423
pb1;1;Spot1;winkel;360248.5227611782;8117;44.38197890368094;11.568934536887978;250;6810;3914;788;-584;179.9501502677837;0.0019685880179497544;182;10;10;238;10;10;10;10;10;10;10;10;11;12;12;12;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;44;21;20;32;240;41;40;40;40;40;1342;40;60;367;60;60;60;60;60;610;55;51;271;62;55;50;50;52;51;51;50;51;71;50;439;40;294;422;50;50;50;50;54;40;40;40;40;40;40;40;40;252;40;40;40;40;40;40;40;58;30;35;41;41;43;40;41;41;40;89;30;30;31;30;32;150;31;30;25;20;20;20;20;20;20;20;20;20;20;20;20;20;118;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1643
pb1;1;Spot1;winkellog;278082.6876341742;8117;34.25929378269979;7.227632083261528;112;8915;2640;804;-584;178.9828668939213;8.407403537397305e-05;182;10;10;238;10;10;10;10;10;10;10;10;11;12;12;12;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;14;21;21;21;20;21;21;20;32;240;41;41;40;41;40;41;40;61;367;60;60;60;60;60;170;65;61;281;72;65;60;60;62;61;61;60;61;81;60;449;50;304;432;60;60;60;60;64;50;50;50;50;50;50;50;50;262;50;50;50;50;50;50;50;68;40;45;51;51;53;50;51;51;50;99;40;40;41;40;42;160;41;40;35;30;30;209;30;30;30;30;30;30;30;30;30;30;30;434;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;109;30;30;30;30;30;2416
pb1;1;Spot2;euklid;1967694.4637786348;9417;208.951307611621;93.63621333897528;840;2136;9978;383;-1917;559.299432678343;0.3726994766004141;6690;20;20;20;20;20;116;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;130;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;71;45;46;272;31;31;32;31;31;31;30;30;30;30;30;30;30;30;30;30;30;30;30;155;30;30;30;30;30;30;30;39;37;30;30;30;30;864;30;82;30;30;30;30;30;400;30;30;31;119;20;143;20;20;20;198;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;180;20;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;54;13;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pb1;1;Spot2;winkel;546400.2657756252;9417;58.02275308225818;9.474335930021224;840;2411;10181;382;-1917;179.97023233244104;0.00016804165417761265;6408;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;216;30;30;30;30;30;30;30;30;30;30;30;30;30;362;20;20;20;20;20;20;20;20;21;20;20;20;20;20;20;20;169;151;285;41;40;32;31;31;30;30;31;38;47;30;30;127;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;31;30;30;30;1069;30;30;30;30;30;30;30;30;30;30;30;30;23;32;31;20;20;20;20;20;20;20;125;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;192;27;20;20;452;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pb1;1;Spot2;winkellog;529775.626897281;9417;56.25736719733259;9.474335930021224;843;5088;7812;1273;-1917;179.97023233244104;4.520768375091058e-05;4403;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;206;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;21;20;20;20;20;20;20;20;169;151;285;41;40;30;30;30;30;30;31;38;47;30;30;127;30;30;30;30;30;30;30;30;30;30;30;30;452;30;30;30;30;30;30;30;30;30;30;41;1082;40;40;40;42;42;165;30;318;30;30;30;30;23;32;31;20;20;20;20;20;20;20;125;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;192;27;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;118;25;21;14;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;2064
pb1;1;Spot3;euklid;2191421.239830156;14650;149.58506756519836;76.01046016684901;592;5172;13345;122;-2925;513.5535034157117;0.6305583231168705;8788;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;330;20;20;20;20;20;20;20;20;20;36;38;35;30;30;30;69;30;30;401;30;30;30;30;30;30;30;30;30;30;188;40;40;42;40;40;40;40;237;50;50;50;50;50;50;50;50;50;168;50;50;50;123;60;188;60;457;64;109;62;650;474;495;98;84;72;60;80;60;181;64;327;423;41;800;1147;27;28;289;11;11;12;11;270;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pb1;1;Spot3;winkel;788031.468889703;14650;53.790543951515566;8.681369259957926;599;10085;8190;1023;-760;179.7913017345447;0.00014468629706928417;708;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;255;20;20;20;20;20;20;20;20;20;20;20;20;20;212;20;20;156;30;30;30;30;30;30;30;30;186;30;30;30;86;40;40;40;40;40;40;40;40;519;40;40;40;40;42;40;40;40;40;40;342;50;50;50;50;50;50;205;60;60;60;60;60;60;60;60;60;60;1129;115;74;71;70;71;88;135;50;50;344;60;60;67;62;60;64;73;476;673;92;651;142;116;116;758;523;1271;210;251;1053;70;73;80;75;370;353;45;293;632;20;20;123;20;20;20;20;20;20;20;153;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;14;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1686
pb1;1;Spot3;winkellog;740023.1341712269;14650;50.513524516807294;9.75821674433772;603;8649;8828;252;-760;179.79113634445395;6.582430396434582e-07;708;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;255;20;20;20;20;20;20;20;20;20;20;20;20;20;212;20;20;156;30;30;30;30;30;30;30;30;186;30;30;30;86;40;40;40;40;40;40;40;40;519;40;40;40;40;42;40;40;40;40;40;342;50;50;50;50;50;50;204;60;60;60;60;60;60;60;60;60;60;1129;115;74;71;70;71;88;135;50;50;50;62;60;145;72;70;396;554;496;693;676;131;182;156;312;759;543;929;230;114;1422;91;451;100;94;380;65;254;293;632;20;20;20;20;20;20;20;20;20;219;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pb1;1;Spot4;euklid;2141530.233455064;13783;155.37475393274786;85.4183322505327;157;11843;6342;1255;-629;538.7379554644419;0.5954479599292009;351;10;10;10;10;10;10;294;20;20;20;20;267;20;20;140;20;20;20;20;353;30;30;30;30;30;30;79;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;300;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;259;30;30;30;30;30;30;30;30;30;30;30;30;423;97;41;365;51;51;51;51;51;51;51;296;76;60;60;60;60;80;74;220;388;356;80;135;110;563;80;219;191;1058;80;403;105;232;352;80;82;209;79;72;70;70;70;70;242;68;60;60;60;60;60;301;50;50;50;202;160;30;30;424;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;24;25;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;21;22;21;22;21;22;22;21;22;135;10;10;10;10;10;3631
