path_ref,path_query,ref_x,ref_y,query_x,query_y
0,0,1056.9171061902366,461.4047911424259,1077.4,536.8
1,1,1056.9171061902366,461.4047911424259,1077.4,536.8
2,2,1056.9171061902366,461.4047911424259,1077.4,536.8
3,3,1056.9171061902366,461.4047911424259,1077.4,536.8
4,4,1056.9171061902366,461.4047911424259,1077.4,536.8
5,5,1056.9171061902366,461.4047911424259,1077.4,536.8
6,6,1056.9171061902366,461.4047911424259,1077.4,536.8
7,7,1056.9171061902366,461.4047911424259,1077.4,536.8
8,8,1056.9171061902366,461.4047911424259,1077.4,536.8
9,9,1056.9171061902366,461.4047911424259,1077.4,536.8
10,10,1056.9171061902366,461.4047911424259,1077.4,536.8
11,11,1056.9171061902366,461.4047911424259,1077.4,536.8
12,12,1056.9171061902366,461.4047911424259,1077.4,536.8
13,13,1056.9171061902366,461.4047911424259,1077.4,536.8
14,14,1056.9171061902366,461.4047911424259,1077.4,536.8
15,15,1056.9171061902366,461.4047911424259,1077.4,536.8
16,16,1056.9171061902366,461.4047911424259,1077.4,536.8
17,17,1056.9171061902366,461.4047911424259,1077.4,536.8
18,18,1056.9171061902366,461.4047911424259,1077.4,536.8
19,19,1056.9171061902366,461.4047911424259,1077.4,536.8
20,20,1056.9171061902366,461.4047911424259,1077.4,536.8
21,21,1056.9171061902366,461.4047911424259,1077.4,536.8
22,22,1056.9171061902366,461.4047911424259,1077.4,536.8
23,23,1056.9171061902366,461.4047911424259,1077.4,536.8
24,24,1056.9171061902366,461.4047911424259,1077.4,536.8
25,25,1056.9171061902366,461.4047911424259,1077.4,536.8
26,26,1056.9171061902366,461.4047911424259,1077.4,536.8
27,27,1056.9171061902366,461.4047911424259,1077.4,536.8
28,28,1056.9171061902366,461.4047911424259,1077.4,536.8
29,29,1056.9171061902366,461.4047911424259,1077.4,536.8
30,30,1056.9171061902366,461.4047911424259,1077.4,536.8
31,31,1056.9171061902366,461.4047911424259,1077.4,536.8
32,32,1056.9171061902366,461.4047911424259,1077.4,536.8
33,33,1056.9171061902366,461.4047911424259,1077.4,536.8
34,34,1056.9171061902366,461.4047911424259,1077.4,536.8
35,35,1056.9171061902366,461.4047911424259,1077.4,536.8
36,36,1056.9171061902366,461.4047911424259,1077.4,536.8
37,37,1056.9171061902366,461.4047911424259,1077.4,536.8
38,38,1056.9171061902366,461.4047911424259,1077.4,536.8
39,39,1056.9171061902366,461.4047911424259,1077.4,536.8
40,40,1056.9171061902366,461.4047911424259,1077.4,536.8
41,41,1056.9171061902366,461.4047911424259,1077.4,536.8
42,42,1056.9171061902366,461.4047911424259,1077.4,536.8
43,43,1056.9171061902366,461.4047911424259,1077.4,536.8
44,44,1056.9171061902366,461.4047911424259,1077.4,536.8
45,45,1056.9171061902366,461.4047911424259,1077.4,536.8
46,46,1056.9171061902366,461.4047911424259,1077.4,536.8
47,47,1056.9171061902366,461.4047911424259,1077.4,536.8
48,48,1056.9171061902366,461.4047911424259,1077.4,536.8
49,49,1056.9171061902366,461.4047911424259,1077.4,536.8
50,50,1056.9171061902366,461.4047911424259,1077.4,536.8
51,51,1056.9171061902366,461.4047911424259,1077.4,536.8
52,52,1056.9171061902366,461.4047911424259,1077.4,536.8
53,53,1056.9171061902366,461.4047911424259,1077.4,536.8
54,54,1056.9171061902366,461.4047911424259,1077.4,536.8
55,55,1056.9171061902366,461.4047911424259,1077.4,536.8
56,56,1056.9171061902366,461.4047911424259,1077.4,536.8
57,57,1056.9171061902366,461.4047911424259,1077.4,536.8
58,58,1056.9171061902366,461.4047911424259,1077.4,536.8
59,59,1056.9171061902366,461.4047911424259,1077.4,536.8
60,60,1056.9171061902366,461.4047911424259,1077.4,536.8
61,61,1056.9171061902366,461.4047911424259,1077.4,536.8
62,62,1056.9171061902366,461.4047911424259,1077.4,536.8
63,63,1056.9171061902366,461.4047911424259,1077.4,536.8
